name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score,qed_score
ZINCsV000004dQbu,Cc1cccc2c(CCC(=O)Oc3ccc(-c4ccccc4)cc3Cl)c[nH]c12,Cc1cccc2c(CCC(=O)Oc3ccc(-c4ccccc4)cc3Cl)c[nH]c12,-36.62618234742855,0.2380927238002754,-30.8076045238095,0.2947854839691732,-9.854,0.3195969138593455
ZINCrU00000mkZBg,COc1ccc(OC(=O)CCc2c(C)[nH]c3ccccc23)c2ccccc12,COc1ccc(OC(=O)CCc2c(C)[nH]c3ccccc23)c2ccccc12,-36.62606443599999,0.5585623503297655,-28.288056190476187,0.5112568844977606,-10.439,0.3946662718876032
ZINCnI00000nvSqC,O=C(O[C@@H]1CC[C@@H]2C[C@@H]21)c1[nH]c2c(Br)cccc2c1CCCO,O=C(O[C@@H]1CC[C@@H]2C[C@@H]21)c1[nH]c2c(Br)cccc2c1CCCO,-36.62603997295238,0.345455871449709,-30.62711809523809,0.3899311727483633,-7.757,0.7782045042496244
ZINCjH00000596yY,C=CCC[C@@H](C)OC(=O)c1[nH]c2c(c1C)CCCC2,C=CCC[C@@H](C)OC(=O)c1[nH]c2c(c1C)CCCC2,-36.6258952003809,0.3818099431786013,-28.96544809523805,0.3646691157584535,-8.481,0.6481679480960211
ZINCoU00000LaB8j,Cc1ccc2c(CCC(=O)O[C@H]3C[C@H](C)CC(C)(C)C3)c[nH]c2c1,Cc1ccc2c(CCC(=O)O[C@H]3C[C@H](C)CC(C)(C)C3)c[nH]c2c1,-36.62588812114287,0.3174314565201582,-29.594021428571445,0.3318589329527568,-9.155,0.7874426179699154
ZINCoz00000m5yHi,CC(C)C[C@H](O)CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,CC(C)C[C@H](O)CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.62547944647614,0.6164552656806095,-29.485206666666613,0.6951388827654581,-7.795,0.552621226380062
ZINCrE00000C8rZ8,Cc1ccc2[nH]cc(CCC(=O)Oc3ccc(N(C)S(C)(=O)=O)cc3)c2c1,Cc1ccc2[nH]cc(CCC(=O)Oc3ccc(N(C)S(C)(=O)=O)cc3)c2c1,-36.62513943676188,0.4736382718725528,-28.386973333333323,0.3632902707362216,-9.112,0.5200472639828135
ZINCnT000004lWWx,Cc1ccc2[nH]cc(CCC(=O)O[C@@H]3CCCCC3(C)C)c2c1,Cc1ccc2[nH]cc(CCC(=O)O[C@@H]3CCCCC3(C)C)c2c1,-36.62401868476195,0.51477551737033,-28.58982404761909,0.2789121966512135,-9.581,0.8139403502269548
ZINCrP00000nidvE,CCOC(=O)Nc1ccc(OC(=O)CCc2c(C)[nH]c3ccccc23)cc1,CCOC(=O)Nc1ccc(OC(=O)CCc2c(C)[nH]c3ccccc23)cc1,-36.62390492514292,0.626626921123007,-29.717401190476245,0.4926564576173818,-9.282,0.4940901945739384
ZINCqU00000sveF8,C[C@H](OC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccc(I)cc1,C[C@H](OC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccc(I)cc1,-36.62363222552384,0.2098295633516378,-31.918301666666697,0.2310049983862282,-8.172,0.33406351311418164
ZINCnR0000048BSd,Cc1ccc2c(CCC(=O)O[C@H]3C[C@H](C)C[C@H](C)C3)c[nH]c2c1,Cc1ccc2c(CCC(=O)O[C@H]3C[C@H](C)C[C@H](C)C3)c[nH]c2c1,-36.62342380666662,0.558765251257674,-29.613402380952333,0.4871477793826596,-9.137,0.8255952912039747
ZINCsL00000gZUHS,CC(=O)N[C@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O[C@H]1C[C@@H](C)CC(C)(C)C1,CC(=O)N[C@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O[C@H]1C[C@@H](C)CC(C)(C)C1,-36.62300928742855,0.4487606228220597,-26.948827380952373,0.5049779477348642,-8.882,0.7573774434118846
ZINCpU00000abR8o,Cc1ccc2[nH]cc(CCC(=O)Oc3ccc4ccccc4c3)c2c1,Cc1ccc2[nH]cc(CCC(=O)Oc3ccc4ccccc4c3)c2c1,-36.62270734038093,0.336275286622158,-29.649684047619026,0.2600974672564829,-10.122,0.4145293926220931
ZINCsV00001askKK,Cc1ccc2c(CCC(=O)O[C@H]3CCCC[C@@H]3c3ccc(Cl)cc3)c[nH]c2c1,Cc1ccc2c(CCC(=O)O[C@H]3CCCC[C@@H]3c3ccc(Cl)cc3)c[nH]c2c1,-36.62117485771423,0.294817818608009,-31.97591499999996,0.3095980318925763,-9.051,0.5124585447661256
ZINCqP00000hHsXu,Cc1[nH]c2ccccc2c1CCC(=O)Oc1ccc([C@H]2CCOC2)cc1,Cc1[nH]c2ccccc2c1CCC(=O)Oc1ccc([C@H]2CCOC2)cc1,-36.62097140495244,0.2696670819131017,-29.95698023809531,0.2099209186279639,-9.855,0.544214876947316
ZINCpS000009bdBz,C=CCOc1ccc(OC(=O)C[C@H](C)c2c[nH]c3ccccc23)cc1,C=CCOc1ccc(OC(=O)C[C@H](C)c2c[nH]c3ccccc23)cc1,-36.61979942704773,0.2718502447219956,-27.787664285714374,0.2755708167724436,-8.795,0.3820388063943477
ZINCsy00000pnoX4,COC(=O)c1ccc(OC)c(OCC(=O)C(=O)c2cn(C)c3ccccc23)c1,COC(=O)c1ccc(OC)c(OCC(=O)C(=O)c2cn(C)c3ccccc23)c1,-36.61959649904762,0.6346905656591492,-28.659607857142856,0.4356402257795405,-8.888,0.3554974747535337
ZINCsU00001cFyoM,CC(=O)N[C@@H](Cc1c[nH]c2ccc(Br)cc12)C(=O)Oc1cc(F)c(Cl)cc1Cl,CC(=O)N[C@@H](Cc1c[nH]c2ccc(Br)cc12)C(=O)Oc1cc(F)c(Cl)cc1Cl,-36.61882538800003,0.2204270999033536,-29.27917452380956,0.1988309367566791,-8.948,0.3009819735121091
ZINCpE00000vROtH,CO[C@@H]1CCC[C@@H]1CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,CO[C@@H]1CCC[C@@H]1CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.61831450019048,0.5707012352464591,-22.61816357142857,0.3715457927113905,-7.461,0.6564211133012918
ZINCoU00000x0siX,Cc1ccc2[nH]cc(CCC(=O)Oc3c(F)cc(Br)cc3F)c2c1,Cc1ccc2[nH]cc(CCC(=O)Oc3c(F)cc(Br)cc3F)c2c1,-36.61810179028575,0.2524731081523298,-28.722324523809554,0.2028362040752173,-9.494,0.4969134236633082
ZINCpF00000s1124,Cn1cc(C(=O)C(=O)COc2ccc(C#N)cc2Cl)c2ccccc21,Cn1cc(C(=O)C(=O)COc2ccc(C#N)cc2Cl)c2ccccc21,-36.61737267276187,0.3069979359121525,-27.91387357142853,0.2989991580087916,-9.381,0.5198370284741385
ZINCnM00000OlhyG,O=C(OCCCC1CC1)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCCCC1CC1)c1[nH]c2c(Br)cccc2c1CCCO,-36.616909150857126,0.9015512366781812,-28.92383523809523,0.5933813753521395,-7.368,0.5330064690970133
ZINCpH00000BEQvb,C#CC1CCC(NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CC1,C#CC1CCC(NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CC1,-36.61661292342854,0.3864850379407829,-29.09583880952378,0.3994266900629045,-7.88,0.6657477952668976
ZINCpK00000j06Cm,COC(=O)c1c(CCC(=O)Oc2cc(C(C)C)ccc2C)c[nH]c1C,COC(=O)c1c(CCC(=O)Oc2cc(C(C)C)ccc2C)c[nH]c1C,-36.61627100438092,0.5344919599324096,-29.392380476190443,0.4431476515348364,-9.058,0.633727650367907
ZINCpl00000S8aVh,Cc1[nH]cc(CCC(=O)Oc2cccc3c2CNC3=O)c1S(C)(=O)=O,Cc1[nH]cc(CCC(=O)Oc2cccc3c2CNC3=O)c1S(C)(=O)=O,-36.61542064552386,0.339400717053952,-27.25332023809529,0.2580616394408724,-8.782,0.6194866641069835
ZINCmU00000rCIxV,Cc1c(C(=O)OC[C@@H]2CC[C@H](C)C2)[nH]c2cc(Cl)cc(Cl)c12,Cc1c(C(=O)OC[C@@H]2CC[C@H](C)C2)[nH]c2cc(Cl)cc(Cl)c12,-36.61540203142856,0.5417919412399564,-31.759833809523805,0.4669780291390961,-9.044,0.7627583188698139
ZINCpH00000zc5ja,CCN(CC)[C@@H](C)COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,CCN(CC)[C@@H](C)COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.61519992285714,0.238875271010408,-26.63710738095238,0.1537927981755759,-7.087,0.6173784412882971
ZINCmG00000cbz2I,CCC(CC)N[C@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)OC,CCC(CC)N[C@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)OC,-36.61439450952384,0.442909242146976,-28.60135809523813,0.2512240185562128,-7.533,0.764456457402689
ZINCsV00000A1EnH,CCC[C@@](C)(CC)c1ccc(OC(=O)CCc2c[nH]c3cccc(C)c23)cc1,CCC[C@@](C)(CC)c1ccc(OC(=O)CCc2c[nH]c3cccc(C)c23)cc1,-36.61434841104765,0.7491671292219351,-30.07402119047621,0.8242812478805562,-8.991,0.360334025954153
ZINCtU000001Wxyh,Cc1cc(F)ccc1OC(=O)CCc1c(-c2ccccc2)[nH]c2ccc(F)cc12,Cc1cc(F)ccc1OC(=O)CCc1c(-c2ccccc2)[nH]c2ccc(F)cc12,-36.61416483504757,0.8194013754358126,-27.391087619047568,0.5205708254943154,-9.147,0.3368852409032945
ZINCqy00000se6QE,COc1ccc(C(N)=O)c(OC(=O)CCc2cn(C)c3ccccc23)c1,COc1ccc(C(N)=O)c(OC(=O)CCc2cn(C)c3ccccc23)c1,-36.61412223695233,0.4653723098992742,-30.221880952380907,0.3731167906244247,-9.134,0.5460904281938302
ZINCrK000000PqQC,Cn1cc(CCC(=O)Oc2ccc(NC(=O)C3CC3)cc2)c2ccccc21,Cn1cc(CCC(=O)Oc2ccc(NC(=O)C3CC3)cc2)c2ccccc21,-36.6137597230476,0.3521661217740178,-31.140556904761883,0.305876110205848,-9.49,0.5311971026482964
